"","Region.x","Population","Area..sq..mi..","Pop..Density..per.sq..mi..","Coastline..coast.area.ratio.","Net.migration","Infant.mortality..per.1000.births.","GDP....per.capita.","Literacy....","Phones..per.1000.","Arable....","Crops....","Other....","Climate","Birthrate","Deathrate","Agriculture","Industry","Service","country.x","country.y","unemployment_percentage","CPI.Rank","Country.Code","Region.y","Corruption.Perceptions.Index..CPI.","Standard.Error","Lower.Confidence.Interval.x","Upper.Confidence.Interval.x","World.Bank.CPIA","World.Economic.Forum.EOS","Global.Insight.Country.Risk.Ratings","Bertelsmann.Foundation.Transformation.Index","African.Development.Bank.CPIA","IMD.World.Competitiveness.Yearbook","Bertelsmann.Foundation.Sustainable.Governance.Index","World.Justice.Project.Rule.of.Law.Index","PRS.International.Country.Risk.Guide","Varities.of.Democracy.Project","Economist.Intelligence.Unit.Country.Ratings","Freedom.House.Nations.in.Transit.Ratings","PERC.Asia.Risk.Guide","Sources","country.x1","Region","Happiness.Rank","Happiness.Score","Lower.Confidence.Interval.y","Upper.Confidence.Interval.y","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","country.y1"
"97","ASIA (EX. NEAR EAST)         ",6940432,1092,"6355,7","67,12","5,24","2,97",28800,"93,5","546,7","5,05","1,01","93,94","2","7,29","6,29","0,001","0,092","0,906","Hong Kong ","Hong Kong",2.6,15,"HKG","Asia Pacific",77,2.62,73,82,NA,82,83,NA,NA,87,NA,77,67,NA,72,NA,74,7,"Hong Kong","Eastern Asia",75,5.458,5.362,5.554,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,0.92614,"Hong Kong"
"98","EASTERN EUROPE                     ",9981334,93030,"107,3","0,00","0,86","8,57",13900,"99,4","336,2","50,09","2,06","47,85","3","9,72","13,11","0,037","0,312","0,651","Hungary ","Hungary",4.4,57,"HUN","Europe and Central Asia",48,2.89,43,53,NA,43,59,53,NA,37,33,49,50,NA,54,54,NA,9,"Hungary","Central and Eastern Europe",91,5.145,5.056,5.234,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473,"Hungary"
"99","WESTERN EUROPE                     ",299388,103000,"2,9","4,83","2,38","3,31",30900,"99,9","647,7","0,07","0","99,93","3","13,64","6,72","0,086","0,15","0,765","Iceland ","Iceland",2.8,14,"ISL","Europe and Central Asia",78,3.81,71,84,NA,85,83,NA,NA,80,61,NA,85,NA,72,NA,NA,6,"Iceland","Western Europe",3,7.501,7.333,7.669,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,"Iceland"
"100","ASIA (EX. NEAR EAST)         ",1095351995,3287590,"333,2","0,21","-0,07","56,29",2900,"59,5","45,4","54,4","2,74","42,86","2,5","22,01","8,18","0,186","0,276","0,538","India ","India",8.8,79,"IND","Asia Pacific",40,2.47,36,44,NA,54,34,45,NA,39,NA,34,41,NA,37,NA,34,8,"India","Southern Asia",118,4.404,4.351,4.457,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032,"India"
"101","ASIA (EX. NEAR EAST)         ",245452739,1919440,"127,9","2,85","0","35,6",3200,"87,9","52,0","11,32","7,23","81,45","2","20,34","6,25","0,134","0,458","0,408","Indonesia ","Indonesia",5.4,90,"IDN","Asia Pacific",37,2.39,33,41,NA,40,34,36,NA,39,NA,26,50,NA,37,NA,35,8,"Indonesia","Southeastern Asia",79,5.314,5.237,5.391,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171,"Indonesia"
"102","ASIA (EX. NEAR EAST)         ",68688433,1648000,"41,7","0,15","-0,84","41,58",7000,"79,4","276,4","8,72","1,39","89,89","1","17","5,55","0,116","0,424","0,46","Iran ","Iran",12.4,131,"IRN","Middle East and North Africa",29,2.47,25,33,NA,34,34,24,NA,NA,NA,35,24,33,19,NA,NA,7,"Iran","Middle East and Northern Africa",105,4.813,4.703,4.923,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,1.99817,"Iran"
"103","NEAR EAST                          ",26783383,437072,"61,3","0,01","0","50,25",1500,"40,4","38,6","13,15","0,78","86,07","1","31,98","5,37","0,073","0,666","0,261","Iraq ","Iraq",16,166,"IRQ","Middle East and North Africa",17,1.87,14,20,NA,NA,10,20,NA,NA,NA,NA,15,19,19,NA,NA,5,"Iraq","Middle East and Northern Africa",112,4.575,4.446,4.704,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1.81657,"Iraq"
"104","WESTERN EUROPE                     ",4062235,70280,"57,8","2,06","4,99","5,39",29600,"98,0","500,5","15,2","0,03","84,77","3","14,45","7,82","0,05","0,46","0,49","Ireland ","Ireland",6.4,19,"IRL","Europe and Central Asia",73,4.31,66,80,NA,83,71,NA,NA,83,71,NA,76,NA,54,NA,NA,6,"Ireland","Western Europe",19,6.907,6.836,6.978,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,"Ireland"
"105","WESTERN EUROPE                     ",75441,572,"131,9","27,97","5,36","5,93",21000,"","676,0","9","0","91","3","11,05","11,19","0,01","0,13","0,86","Isle of Man ","Isle of Man",2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","NEAR EAST                          ",6352117,20770,"305,8","1,31","0,68","7,03",19800,"95,4","462,3","16,39","4,17","79,44","3","17,97","6,18","0,026","0,317","0,657","Israel ","Israel",4.3,28,"ISR","Middle East and North Africa",64,2.27,60,68,NA,69,59,NA,NA,64,61,NA,58,NA,72,NA,NA,6,"Israel","Middle East and Northern Africa",11,7.267,7.199,7.335,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029,"Israel"
"107","WESTERN EUROPE                     ",58133509,301230,"193,0","2,52","2,07","5,94",26700,"98,6","430,9","27,79","9,53","62,68","","8,72","10,4","0,021","0,291","0,688","Italy ","Italy",11.4,60,"ITA","Europe and Central Asia",47,3.34,42,53,NA,47,59,NA,NA,39,52,57,41,NA,37,NA,NA,7,"Italy","Western Europe",50,5.977,5.898,6.056,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918,"Italy"
"108","LATIN AMER. & CARIB    ",2758124,10991,"250,9","9,30","-4,92","12,36",3900,"87,9","124,0","16,07","10,16","73,77","2","20,82","6,52","0,049","0,337","0,615","Jamaica ","Jamaica",12.2,83,"JAM","Americas",39,1.84,36,42,NA,41,34,36,NA,NA,NA,47,41,NA,37,NA,NA,6,"Jamaica","Latin America and Caribbean",73,5.51,5.315,5.705,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682,"Jamaica"
"109","ASIA (EX. NEAR EAST)         ",127463611,377835,"337,4","7,87","0","3,26",28200,"99,0","461,2","12,19","0,96","86,85","3","9,37","9,16","0,017","0,258","0,725","Japan ","Japan",2.9,20,"JPN","Asia Pacific",72,3.02,67,77,NA,78,71,NA,NA,74,52,75,76,NA,72,NA,78,8,"Japan","Eastern Asia",53,5.921,5.85,5.992,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584,"Japan"
"110","WESTERN EUROPE                     ",91084,116,"785,2","60,34","2,76","5,24",24800,"","811,3","0","0","100","3","9,3","9,28","0,05","0,02","0,93","Jersey ","Jersey",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","NEAR EAST                          ",5906760,92300,"64,0","0,03","6,59","17,35",4300,"91,3","104,5","2,67","1,83","95,5","1","21,25","2,65","0,033","0,287","0,68","Jordan ","Jordan",16.5,57,"JOR","Middle East and North Africa",48,3.03,43,53,NA,60,34,40,NA,53,NA,50,50,40,54,NA,NA,8,"Jordan","Middle East and Northern Africa",80,5.303,5.187,5.419,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,"Jordan"
"112","C.W. OF IND. STATES ",15233244,2717300,"5,6","0,00","-3,35","29,21",6300,"98,4","164,1","7,98","0,05","91,97","4","16","9,42","0,067","0,386","0,547","Kazakhstan ","Kazakhstan",5,131,"KAZ","Europe and Central Asia",29,3.35,23,34,NA,45,34,20,NA,41,NA,32,24,16,19,28,NA,9,"Kazakhstan","Central and Eastern Europe",54,5.919,5.837,6.001,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,"Kazakhstan"
"113","SUB-SAHARAN AFRICA                 ",34707817,582650,"59,6","0,09","-0,1","61,47",1000,"85,1","8,1","8,08","0,98","90,94","1,5","39,72","14,02","0,163","0,188","0,651","Kenya ","Kenya",40,145,"KEN","Sub-Saharan Africa",26,1.72,24,29,35,30,22,28,29,NA,NA,21,24,28,19,NA,NA,9,"Kenya","Sub-Saharan Africa",122,4.356,4.259,4.453,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326,"Kenya"
"114","OCEANIA                            ",105432,811,"130,0","140,94","0","48,52",800,"","42,7","2,74","50,68","46,58","2","30,65","8,26","0,089","0,242","0,668","Kiribati ","Kiribati",30.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","ASIA (EX. NEAR EAST)         ",23113019,120540,"191,8","2,07","0","24,04",1300,"99,0","42,4","20,76","2,49","76,75","3","15,54","7,13","0,3","0,34","0,36","Korea, North ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","ASIA (EX. NEAR EAST)         ",48846823,98480,"496,0","2,45","0","7,05",17800,"97,9","486,1","17,18","1,95","80,87","3","10","5,85","0,033","0,403","0,563","Korea, South ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","NEAR EAST                          ",2418393,17820,"135,7","2,80","14,18","9,95",19000,"83,5","211,0","0,73","0,11","99,16","1","21,94","2,41","0,004","0,479","0,516","Kuwait ","Kuwait",2.1,75,"KWT","Middle East and North Africa",41,2.67,37,45,NA,43,34,40,NA,NA,NA,NA,50,NA,37,NA,NA,5,"Kuwait","Middle East and Northern Africa",41,6.239,6.154,6.324,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2.28085,"Kuwait"
"118","C.W. OF IND. STATES ",5213898,198500,"26,3","0,00","-2,45","35,64",1600,"97,0","84,0","7,3","0,35","92,35","2,5","22,8","7,08","0,353","0,208","0,439","Kyrgyzstan ","Kyrgyzstan",7.4,136,"KGZ","Europe and Central Asia",28,2.08,24,31,35,23,22,32,NA,NA,NA,29,NA,21,NA,30,NA,7,"Kyrgyzstan","Central and Eastern Europe",85,5.185,5.103,5.267,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2.28136,"Kyrgyzstan"
"119","ASIA (EX. NEAR EAST)         ",6368481,236800,"26,9","0,00","0","85,22",1700,"66,4","14,1","3,8","0,35","95,85","2","35,49","11,55","0,455","0,287","0,258","Laos ","Laos",1.5,123,"LAO","Asia Pacific",30,6.19,20,40,24,45,34,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Laos","Southeastern Asia",102,4.876,4.742,5.01,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2.08637,"Laos"
"120","BALTICS                            ",2274735,64589,"35,2","0,82","-2,23","9,55",10200,"99,8","321,4","29,67","0,47","69,86","3","9,24","13,66","0,04","0,261","0,699","Latvia ","Latvia",9,44,"LVA","Europe and Central Asia",57,2.96,52,62,NA,48,59,57,NA,45,71,NA,50,67,54,65,NA,9,"Latvia","Central and Eastern Europe",68,5.56,5.486,5.634,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,"Latvia"
"121","NEAR EAST                          ",3874050,10400,"372,5","2,16","0","24,52",4800,"87,4","255,6","16,62","13,98","69,4","","18,52","6,21","0,12","0,21","0,67","Lebanon ",NA,NA,136,"LBN","Middle East and North Africa",28,2.5,24,32,NA,23,22,20,NA,NA,NA,30,32,34,37,NA,NA,7,"Lebanon","Middle East and Northern Africa",93,5.129,5.031,5.227,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2.07339,"Lebanon"
"122","SUB-SAHARAN AFRICA                 ",2022331,30355,"66,6","0,00","-0,74","84,23",3000,"84,8","23,7","10,87","0,13","89","3","24,75","28,71","0,163","0,443","0,394","Lesotho ","Lesotho",28.1,83,"LSO","Sub-Saharan Africa",39,6.15,29,49,35,20,59,40,38,NA,NA,NA,NA,NA,NA,NA,NA,5,"Lesotho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","SUB-SAHARAN AFRICA                 ",3042004,111370,"27,3","0,52","0","128,87",1000,"57,5","2,3","3,95","2,28","93,77","2","44,77","23,1","0,769","0,054","0,177","Liberia ","Liberia",2.8,90,"LBR","Sub-Saharan Africa",37,3.43,31,43,35,45,34,45,41,NA,NA,19,41,NA,NA,NA,NA,7,"Liberia","Sub-Saharan Africa",150,3.622,3.463,3.781,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284,"Liberia"
"124","NORTHERN AFRICA                    ",5900754,1759540,"3,4","0,10","0","24,6",6400,"82,6","127,1","1,03","0,19","98,78","","26,49","3,48","0,076","0,499","0,425","Libya ","Libya",30,170,"LBY","Middle East and North Africa",14,2,11,17,NA,NA,10,12,NA,NA,NA,NA,15,NA,19,NA,NA,4,"Libya","Middle East and Northern Africa",67,5.615,5.406,5.824,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374,"Libya"
"125","WESTERN EUROPE                     ",33987,160,"212,4","0,00","4,85","4,7",25000,"100,0","585,5","25","0","75","4","10,21","7,18","0,06","0,39","0,55","Liechtenstein ","Liechtenstein",2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","BALTICS                            ",3585906,65200,"55,0","0,14","-0,71","6,89",11400,"99,6","223,4","45,22","0,91","53,87","","8,75","10,98","0,055","0,325","0,62","Lithuania ","Lithuania",7,38,"LTU","Europe and Central Asia",59,1.36,57,61,NA,56,59,65,NA,53,61,NA,58,64,54,59,NA,9,"Lithuania","Central and Eastern Europe",60,5.813,5.734,5.892,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525,"Lithuania"
"127","WESTERN EUROPE                     ",474413,2586,"183,5","0,00","8,97","4,81",55100,"100,0","515,4","23,28","0,4","76,32","","11,94","8,41","0,01","0,13","0,86","Luxembourg ","Luxembourg",5.9,10,"LUX","Europe and Central Asia",81,1.96,78,84,NA,85,83,NA,NA,81,80,NA,85,NA,72,NA,NA,6,"Luxembourg","Western Europe",20,6.871,6.804,6.938,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,"Luxembourg"
"128","ASIA (EX. NEAR EAST)         ",453125,28,"16183,0","146,43","4,86","4,39",19400,"94,5","384,9","0","0","100","2","8,48","4,47","0,001","0,072","0,927","Macau ","Macau",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","EASTERN EUROPE                     ",2050554,25333,"80,9","0,00","-1,45","10,09",6700,"","260,0","22,26","1,81","75,93","3","12,02","8,77","0,118","0,319","0,563","Macedonia ","Macedonia",23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Central and Eastern Europe",95,5.121,5.017,5.225,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,2.08947,"Macedonia"
"130","SUB-SAHARAN AFRICA                 ",18595469,587040,"31,7","0,82","0","76,83",800,"68,9","3,6","5,07","1,03","93,91","2","41,41","11,11","0,276","0,165","0,559","Madagascar ","Madagascar",2.1,145,"MDG","Sub-Saharan Africa",26,2.88,21,30,24,19,34,32,14,NA,NA,23,32,NA,NA,NA,NA,7,"Madagascar","Sub-Saharan Africa",148,3.695,3.621,3.769,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,2.15075,"Madagascar"
"131","SUB-SAHARAN AFRICA                 ",13013926,118480,"109,8","0,00","0","103,32",600,"62,7","7,9","23,38","1,49","75,13","2","43,13","19,33","0,342","0,158","0,499","Malawi ","Malawi",20.4,120,"MWI","Sub-Saharan Africa",31,2.11,28,35,24,27,34,36,38,NA,NA,32,32,36,19,NA,NA,9,"Malawi","Sub-Saharan Africa",132,4.156,4.041,4.271,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,"Malawi"
"132","ASIA (EX. NEAR EAST)         ",24385858,329750,"74,0","1,42","0","17,7",9000,"88,7","179,0","5,48","17,61","76,91","2","22,86","5,05","0,084","0,48","0,436","Malaysia ","Malaysia",3.4,55,"MYS","Asia Pacific",49,2.46,45,53,NA,56,59,49,NA,52,NA,41,41,NA,54,NA,44,8,"Malaysia","Southeastern Asia",47,6.005,5.921,6.089,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384,"Malaysia"
"133","ASIA (EX. NEAR EAST)         ",359008,300,"1196,7","214,67","0","56,52",3900,"97,2","90,0","13,33","16,67","70","2","34,81","7,06","0,2","0,18","0,62","Maldives ","Maldives",11.6,95,"MDV","Asia Pacific",36,5.66,27,46,35,NA,47,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,3,"Maldives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","SUB-SAHARAN AFRICA                 ",11716829,1240000,"9,5","0,00","-0,33","116,79",900,"46,4","6,4","3,82","0,03","96,15","2","49,82","16,89","0,45","0,17","0,38","Mali ","Mali",8.1,116,"MLI","Sub-Saharan Africa",32,1.75,29,35,35,24,34,32,35,NA,NA,NA,32,NA,NA,NA,NA,6,"Mali","Sub-Saharan Africa",135,4.073,3.988,4.158,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087,"Mali"
"135","WESTERN EUROPE                     ",400214,316,"1266,5","62,28","2,07","3,89",17700,"92,8","505,0","28,13","3,13","68,74","","10,22","8,1","0,03","0,23","0,74","Malta ","Malta",4.4,47,"MLT","Europe and Central Asia",55,1.39,53,58,NA,54,59,NA,NA,NA,52,NA,58,NA,54,NA,NA,5,"Malta","Western Europe",30,6.488,6.409,6.567,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,"Malta"
"136","OCEANIA                            ",60422,11854,"5,1","3,12","-6,04","29,45",1600,"93,7","91,2","16,67","38,89","44,44","2","33,05","4,78","0,317","0,149","0,534","Marshall Islands ","Marshall Islands",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","LATIN AMER. & CARIB    ",436131,1100,"396,5","31,82","-0,05","7,09",14400,"97,7","394,4","10,38","9,43","80,19","2","13,74","6,48","0,06","0,11","0,83","Martinique ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","SUB-SAHARAN AFRICA                 ",3177388,1030700,"3,1","0,07","0","70,89",1800,"41,7","12,9","0,48","0,01","99,51","1","40,99","12,16","0,25","0,29","0,46","Mauritania ","Mauritania",11.7,142,"MRT","Sub-Saharan Africa",27,3.62,21,33,35,15,22,32,29,NA,NA,NA,NA,NA,NA,NA,NA,5,"Mauritania","Sub-Saharan Africa",130,4.201,4.127,4.275,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,1.9263,"Mauritania"
"139","SUB-SAHARAN AFRICA                 ",1240827,2040,"608,3","8,68","-0,9","15,03",11400,"85,6","289,3","49,26","2,96","47,78","2","15,43","6,86","0,059","0,298","0,643","Mauritius ","Mauritius",6.9,50,"MUS","Sub-Saharan Africa",54,2.14,50,57,NA,53,59,49,NA,NA,NA,NA,NA,NA,54,NA,NA,4,"Mauritius","Sub-Saharan Africa",66,5.648,5.507,5.789,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2.20223,"Mauritius"
"140","SUB-SAHARAN AFRICA                 ",201234,374,"538,1","49,52","6,78","62,4",2600,"","49,7","","","","2","40,95","7,7","","","","Mayotte ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","LATIN AMER. & CARIB    ",107449525,1972550,"54,5","0,47","-4,87","20,91",9000,"92,2","181,6","12,99","1,31","85,7","1,5","20,69","4,74","0,038","0,259","0,702","Mexico ","Mexico",3.6,123,"MEX","Americas",30,1.56,28,33,NA,29,34,28,NA,32,33,26,24,NA,37,NA,NA,8,"Mexico","Latin America and Caribbean",21,6.778,6.68,6.876,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,"Mexico"
"142","OCEANIA                            ",108004,702,"153,9","870,66","-20,99","30,21",2000,"89,0","114,8","5,71","45,71","48,58","2","24,68","4,75","0,289","0,152","0,559","Micronesia, Fed. St. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","C.W. OF IND. STATES ",4466706,33843,"132,0","0,00","-0,26","40,42",1800,"99,1","208,1","55,3","10,79","33,91","","15,7","12,64","0,213","0,233","0,555","Moldova ","Moldova",4.3,123,"MDA","Europe and Central Asia",30,2.18,27,34,24,23,34,40,NA,NA,NA,26,32,23,37,33,NA,9,"Moldova","Central and Eastern Europe",55,5.897,5.823,5.971,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,3.38007,"Moldova"
"144","WESTERN EUROPE                     ",32543,2,"16271,5","205,00","7,75","5,43",27000,"99,0","1035,6","0","0","100","","9,19","12,91","0,17","","","Monaco ","Monaco",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
