"","Region.x","Population","Area..sq..mi..","Pop..Density..per.sq..mi..","Coastline..coast.area.ratio.","Net.migration","Infant.mortality..per.1000.births.","GDP....per.capita.","Literacy....","Phones..per.1000.","Arable....","Crops....","Other....","Climate","Birthrate","Deathrate","Agriculture","Industry","Service","country.x","country.y","unemployment_percentage","CPI.Rank","Country.Code","Region.y","Corruption.Perceptions.Index..CPI.","Standard.Error","Lower.Confidence.Interval.x","Upper.Confidence.Interval.x","World.Bank.CPIA","World.Economic.Forum.EOS","Global.Insight.Country.Risk.Ratings","Bertelsmann.Foundation.Transformation.Index","African.Development.Bank.CPIA","IMD.World.Competitiveness.Yearbook","Bertelsmann.Foundation.Sustainable.Governance.Index","World.Justice.Project.Rule.of.Law.Index","PRS.International.Country.Risk.Guide","Varities.of.Democracy.Project","Economist.Intelligence.Unit.Country.Ratings","Freedom.House.Nations.in.Transit.Ratings","PERC.Asia.Risk.Guide","Sources","country.x1","Region","Happiness.Rank","Happiness.Score","Lower.Confidence.Interval.y","Upper.Confidence.Interval.y","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","country.y1"
"194","SUB-SAHARAN AFRICA                 ",193413,1001,"193,2","20,88","-2,72","43,11",1200,"79,3","36,2","6,25","48,96","44,79","2","40,25","6,47","0,167","0,148","0,684","Sao Tome & Principe ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","NEAR EAST                          ",27019731,1960582,"13,8","0,13","-2,71","13,24",11800,"78,8","140,6","1,67","0,09","98,24","1","29,34","2,58","0,033","0,613","0,354","Saudi Arabia ","Saudi Arabia",5.6,62,"SAU","Middle East and North Africa",46,7.54,33,58,NA,66,22,36,NA,NA,NA,NA,50,NA,54,NA,NA,5,"Saudi Arabia","Middle East and Northern Africa",34,6.379,6.287,6.471,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,"Saudi Arabia"
"196","SUB-SAHARAN AFRICA                 ",11987121,196190,"61,1","0,27","0,2","55,51",1600,"40,2","22,2","12,78","0,21","87,01","2","32,78","9,42","0,172","0,209","0,619","Senegal ","Senegal",48,64,"SEN","Sub-Saharan Africa",45,2.63,40,49,47,36,47,53,44,NA,NA,43,32,NA,54,NA,NA,8,"Senegal","Sub-Saharan Africa",128,4.219,4.151,4.287,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861,"Senegal"
"197","EASTERN EUROPE                     ",9396411,88361,"106,3","0,00","-1,33","12,89",2200,"93,0","285,8","33,35","3,2","63,45","","","","0,166","0,255","0,579","Serbia ","Serbia",16,72,"SCG","Europe and Central Asia",42,3.69,36,48,NA,39,47,57,NA,NA,NA,32,32,NA,37,52,NA,7,"Serbia","Central and Eastern Europe",86,5.177,5.083,5.271,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539,"Serbia"
"198","SUB-SAHARAN AFRICA                 ",81541,455,"179,2","107,91","-5,69","15,53",7800,"58,0","262,4","2,22","13,33","84,45","2","16,03","6,29","0,032","0,304","0,665","Seychelles ","Seychelles",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","SUB-SAHARAN AFRICA                 ",6005250,71740,"83,7","0,56","0","143,64",500,"31,4","4,0","6,98","0,89","92,13","2","45,76","23,03","0,49","0,31","0,21","Sierra Leone ","Sierra Leone",9.1,123,"SLE","Sub-Saharan Africa",30,2.94,25,35,35,19,34,40,35,NA,NA,23,32,NA,19,NA,NA,8,"Sierra Leone","Sub-Saharan Africa",111,4.635,4.505,4.765,0.36485,0.628,0,0.30685,0.08196,0.23897,3.01402,"Sierra Leone"
"200","ASIA (EX. NEAR EAST)         ",4492150,693,"6482,2","27,85","11,53","2,29",23700,"92,5","411,4","1,64","0","98,36","2","9,34","4,28","0","0,339","0,661","Singapore ","Singapore",2.2,7,"SGP","Asia Pacific",84,2.35,81,88,NA,88,83,73,NA,91,NA,85,76,NA,90,NA,89,8,"Singapore","Southeastern Asia",22,6.739,6.674,6.804,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,"Singapore"
"201","EASTERN EUROPE                     ",5439448,48845,"111,4","0,00","0,3","7,41",13300,"","220,1","30,16","2,62","67,22","3","10,65","9,45","0,035","0,294","0,672","Slovakia ","Slovakia",8.1,54,"SVK","Europe and Central Asia",51,3.09,46,57,NA,34,59,61,NA,45,52,NA,50,NA,54,57,NA,8,"Slovakia","Central and Eastern Europe",45,6.078,5.996,6.16,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2.61065,"Slovakia"
"202","EASTERN EUROPE                     ",2010347,20273,"99,2","0,23","1,12","4,45",19000,"99,7","406,1","8,6","1,49","89,91","","8,98","10,31","0,028","0,369","0,603","Slovenia ","Slovenia",6.8,31,"SVN","Europe and Central Asia",61,2.44,57,65,NA,58,71,65,NA,46,61,59,58,67,54,70,NA,10,"Slovenia","Central and Eastern Europe",63,5.768,5.683,5.853,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,"Slovenia"
"203","OCEANIA                            ",552438,28450,"19,4","18,67","0","21,29",1700,"","13,4","0,64","2","97,36","2","30,01","3,92","0,42","0,11","0,47","Solomon Islands ",NA,NA,72,"SLB","Asia Pacific",42,3.34,36,47,35,NA,47,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,3,"Solomon Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","SUB-SAHARAN AFRICA                 ",8863338,637657,"13,9","0,47","5,37","116,7",500,"37,8","11,3","1,67","0,04","98,29","1","45,13","16,63","0,65","0,1","0,25","Somalia ",NA,NA,176,"SOM","Sub-Saharan Africa",10,2.98,5,15,NA,NA,10,8,0,NA,NA,NA,15,17,NA,NA,NA,5,"Somalia","Sub-Saharan Africa",76,5.44,5.321,5.559,0,0.33613,0.11466,0.56778,0.3118,0.27225,3.83772,"Somalia"
"205","SUB-SAHARAN AFRICA                 ",44187637,1219912,"36,2","0,23","-0,29","61,81",10700,"86,4","107,0","12,08","0,79","87,13","1","18,2","22","0,025","0,303","0,671","South Africa ","South Africa",27.6,64,"ZAF","Sub-Saharan Africa",45,2.55,41,49,NA,49,47,45,NA,33,NA,47,41,NA,54,NA,NA,7,"South Africa","Sub-Saharan Africa",116,4.459,4.371,4.547,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227,"South Africa"
"206","WESTERN EUROPE                     ",40397842,504782,"80,0","0,98","0,99","4,42",22000,"97,9","453,5","26,07","9,87","64,06","3","10,06","9,72","0,04","0,295","0,665","Spain ","Spain",17.1,41,"ESP","Europe and Central Asia",58,4.09,51,65,NA,51,59,NA,NA,38,61,65,58,NA,72,NA,NA,7,"Spain","Western Europe",37,6.361,6.288,6.434,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663,"Spain"
"207","ASIA (EX. NEAR EAST)         ",20222240,65610,"308,2","2,04","-1,31","14,35",3700,"92,3","61,5","13,86","15,7","70,44","2","15,51","6,52","0,178","0,276","0,545","Sri Lanka ","Sri Lanka",4,95,"LKA","Asia Pacific",36,1.64,34,39,35,41,34,28,NA,NA,NA,38,41,NA,37,NA,NA,7,"Sri Lanka","Southern Asia",117,4.415,4.322,4.508,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681,"Sri Lanka"
"208","SUB-SAHARAN AFRICA                 ",41236378,2505810,"16,5","0,03","-0,02","62,5",1900,"61,1","16,3","6,83","0,18","92,99","2","34,53","8,97","0,387","0,203","0,41","Sudan ","Sudan",19.6,170,"SDN","Sub-Saharan Africa",14,2.99,9,19,2,NA,22,16,11,NA,NA,NA,6,22,19,NA,NA,7,"Sudan","Sub-Saharan Africa",133,4.139,3.928,4.35,0.63069,0.81928,0.29759,0,0.10039,0.18077,2.10995,"Sudan"
"209","LATIN AMER. & CARIB    ",439117,163270,"2,7","0,24","-8,81","23,57",4000,"93,0","184,7","0,37","0,06","99,57","2","18,02","7,27","0,13","0,22","0,65","Suriname ","Suriname",9.1,64,"SUR","Americas",45,7.53,32,57,NA,NA,34,NA,NA,NA,NA,47,32,65,NA,NA,NA,4,"Suriname","Latin America and Caribbean",40,6.269,6.073,6.465,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,3.06852,"Suriname"
"210","SUB-SAHARAN AFRICA                 ",1136334,17363,"65,5","0,00","0","69,27",4900,"81,6","30,8","10,35","0,7","88,95","2,5","27,41","29,74","0,119","0,515","0,366","Swaziland ","Swaziland",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","WESTERN EUROPE                     ",9016596,449964,"20,0","0,72","1,67","2,77",26800,"99,0","715,0","6,54","0,01","93,45","3","10,27","10,31","0,011","0,282","0,707","Sweden ","Sweden",6.6,4,"SWE","Europe and Central Asia",88,1.33,85,90,NA,86,83,NA,NA,86,90,85,93,NA,90,NA,NA,7,"Sweden","Western Europe",10,7.291,7.227,7.355,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,"Sweden"
"212","WESTERN EUROPE                     ",7523934,41290,"182,2","0,00","4,05","4,39",32700,"99,0","680,9","10,42","0,61","88,97","3","9,71","8,49","0,015","0,34","0,645","Switzerland ","Switzerland",3,5,"CHE","Europe and Central Asia",86,1.57,83,89,NA,80,83,NA,NA,88,90,NA,85,NA,90,NA,NA,6,"Switzerland","Western Europe",2,7.509,7.428,7.59,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,"Switzerland"
"213","NEAR EAST                          ",18881361,185180,"102,0","0,10","0","29,53",3300,"76,9","153,8","25,22","4,43","70,35","1","27,76","4,81","0,249","0,23","0,519","Syria ","Syria",50,173,"SYR","Middle East and North Africa",13,1.97,10,16,NA,NA,10,8,NA,NA,NA,NA,15,12,19,NA,NA,5,"Syria","Middle East and Northern Africa",156,3.069,2.936,3.202,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,0.81789,"Syria"
"214","ASIA (EX. NEAR EAST)         ",23036087,35980,"640,3","4,35","0","6,4",23400,"96,1","591,0","24","1","75","2","12,56","6,48","0,018","0,259","0,723","Taiwan ","Taiwan",3.8,31,"TWN","Asia Pacific",61,3.79,55,67,NA,68,71,77,NA,65,NA,NA,50,50,54,NA,51,8,"Taiwan","Eastern Asia",34,6.379,6.305,6.453,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2.61523,"Taiwan"
"215","C.W. OF IND. STATES ",7320815,143100,"51,2","0,00","-2,86","110,76",1000,"99,4","33,5","6,61","0,92","92,47","2","32,65","8,25","0,234","0,286","0,48","Tajikistan ","Tajikistan",2.4,151,"TJK","Europe and Central Asia",25,5.26,16,34,24,48,22,16,NA,NA,NA,NA,NA,11,NA,28,NA,6,"Tajikistan","Central and Eastern Europe",100,4.996,4.923,5.069,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,2.39106,"Tajikistan"
"216","SUB-SAHARAN AFRICA                 ",37445392,945087,"39,6","0,15","-2,06","98,54",600,"78,2","4,0","4,52","1,08","94,4","","37,71","16,39","0,432","0,172","0,396","Tanzania ","Tanzania",10.3,116,"TZA","Sub-Saharan Africa",32,1.84,29,35,35,27,22,32,38,NA,NA,27,32,38,37,NA,NA,9,"Tanzania","Sub-Saharan Africa",149,3.666,3.561,3.771,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,1.37769,"Tanzania"
"217","ASIA (EX. NEAR EAST)         ",64631595,514000,"125,7","0,63","0","20,48",7400,"92,6","108,9","29,36","6,46","64,18","2","13,87","7,04","0,099","0,441","0,46","Thailand ","Thailand",0.7,101,"THA","Asia Pacific",35,2.44,31,39,NA,37,22,40,NA,44,NA,37,32,24,37,NA,38,9,"Thailand","Southeastern Asia",33,6.474,6.396,6.552,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,"Thailand"
"218","SUB-SAHARAN AFRICA                 ",5548702,56785,"97,7","0,10","0","66,61",1500,"60,9","10,6","46,15","2,21","51,64","2","37,01","9,83","0,395","0,204","0,401","Togo ","Togo",6.9,116,"TGO","Sub-Saharan Africa",32,4.21,25,39,24,NA,47,32,23,NA,NA,NA,32,NA,NA,NA,NA,5,"Togo","Sub-Saharan Africa",155,3.303,3.192,3.414,0.28123,0,0.24811,0.34678,0.11587,0.17517,2.1354,"Togo"
"219","OCEANIA                            ",114689,748,"153,3","56,02","0","12,62",2200,"98,5","97,7","23,61","43,06","33,33","2","25,37","5,28","0,23","0,27","0,5","Tonga ","Tonga",1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","LATIN AMER. & CARIB    ",1065842,5128,"207,9","7,06","-10,83","24,31",9500,"98,6","303,5","14,62","9,16","76,22","2","12,9","10,57","0,007","0,57","0,423","Trinidad & Tobago ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","NORTHERN AFRICA                    ",10175014,163610,"62,2","0,70","-0,57","24,77",6900,"74,2","123,6","17,86","13,74","68,4","3","15,52","5,13","0,132","0,318","0,55","Tunisia ","Tunisia",13,75,"TUN","Middle East and North Africa",41,3.9,35,47,NA,37,47,28,NA,NA,NA,37,41,61,37,NA,NA,7,"Tunisia","Middle East and Northern Africa",98,5.045,4.965,5.125,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,2.68413,"Tunisia"
"222","NEAR EAST                          ",70413958,780580,"90,2","0,92","0","41,04",6700,"86,5","269,5","30,93","3,31","65,76","3","16,62","5,97","0,117","0,298","0,585","Turkey ","Turkey",11.2,75,"TUR","Europe and Central Asia",41,1.8,38,44,NA,49,47,45,NA,46,33,39,41,36,37,NA,NA,9,"Turkey","Middle East and Northern Africa",78,5.389,5.295,5.483,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,2.29074,"Turkey"
"223","C.W. OF IND. STATES ",5042920,488100,"10,3","0,00","-0,86","73,08",5800,"98,0","74,6","3,72","0,14","96,14","1","27,61","8,6","0,209","0,38","0,411","Turkmenistan ","Turkmenistan",11,154,"TKM","Europe and Central Asia",22,1.32,20,24,NA,NA,22,20,NA,NA,NA,NA,NA,NA,19,25,NA,4,"Turkmenistan","Central and Eastern Europe",65,5.658,5.58,5.736,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,2.21489,"Turkmenistan"
"224","LATIN AMER. & CARIB    ",21152,430,"49,2","90,47","11,68","15,67",9600,"98,0","269,5","2,33","0","97,67","2","21,84","4,21","","","","Turks & Caicos Is ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","OCEANIA                            ",11810,26,"454,2","92,31","0","20,03",1100,"","59,3","0","0","100","2","22,18","7,11","0,166","0,272","0,562","Tuvalu ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","SUB-SAHARAN AFRICA                 ",28195754,236040,"119,5","0,00","0","67,83",1400,"69,9","3,6","25,88","10,65","63,47","2","47,35","12,24","0,311","0,222","0,469","Uganda ","Uganda",9.4,151,"UGA","Sub-Saharan Africa",25,2.24,22,29,13,27,22,32,26,NA,NA,21,24,26,37,NA,NA,9,"Uganda","Sub-Saharan Africa",145,3.739,3.629,3.849,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416,"Uganda"
"227","C.W. OF IND. STATES ",46710816,603700,"77,4","0,46","-0,39","20,34",5400,"99,7","259,9","56,21","1,61","42,18","3","8,82","14,39","0,187","0,452","0,361","Ukraine ","Ukraine",9.5,131,"UKR","Europe and Central Asia",29,1.97,25,32,NA,27,34,36,NA,29,NA,32,24,23,19,33,NA,9,"Ukraine","Central and Eastern Europe",123,4.324,4.236,4.412,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,"Ukraine"
"228","NEAR EAST                          ",2602713,82880,"31,4","1,59","1,03","14,51",23200,"77,9","475,3","0,6","2,25","97,15","1","18,96","4,4","0,04","0,585","0,375","United Arab Emirates ","United Arab Emirates",3.6,24,"ARE","Middle East and North Africa",66,5.7,56,75,NA,86,47,53,NA,81,NA,73,67,NA,54,NA,NA,7,"United Arab Emirates","Middle East and Northern Africa",28,6.573,6.494,6.652,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2.21507,"United Arab Emirates"
"229","WESTERN EUROPE                     ",60609153,244820,"247,6","5,08","2,19","5,16",27700,"99,0","543,5","23,46","0,21","76,33","3","10,71","10,13","0,005","0,237","0,758","United Kingdom ","United Kingdom",4.4,10,"GBR","Europe and Central Asia",81,2.12,77,84,NA,80,71,NA,NA,80,80,80,85,NA,90,NA,NA,7,"United Kingdom","Western Europe",23,6.725,6.647,6.803,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2.14999,"United Kingdom"
"230","NORTHERN AMERICA                   ",298444215,9631420,"31,0","0,21","3,41","6,5",37800,"97,0","898,0","19,13","0,22","80,65","3","14,14","8,26","0,01","0,204","0,787","United States ","United States ",4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North America",13,7.104,7.02,7.188,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782,"United States"
"231","LATIN AMER. & CARIB    ",3431932,176220,"19,5","0,37","-0,32","11,95",12800,"98,0","291,4","7,43","0,23","92,34","3","13,91","9,05","0,093","0,311","0,596","Uruguay ","Uruguay",7.3,21,"URY","Americas",71,2.68,66,75,NA,68,59,77,NA,NA,NA,72,76,NA,72,NA,NA,6,"Uruguay","Latin America and Caribbean",29,6.545,6.456,6.634,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139,"Uruguay"
"232","C.W. OF IND. STATES ",27307134,447400,"61,0","0,00","-1,72","71,1",1700,"99,3","62,9","10,83","0,83","88,34","1","26,36","7,84","0,342","0,229","0,43","Uzbekistan ","Uzbekistan",4.9,156,"UZB","Europe and Central Asia",21,2.35,17,25,13,NA,22,20,NA,NA,NA,32,NA,16,19,25,NA,7,"Uzbekistan","Central and Eastern Europe",49,5.987,5.896,6.078,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638,"Uzbekistan"
"233","OCEANIA                            ",208869,12200,"17,1","20,72","0","55,16",2900,"53,0","32,6","2,46","7,38","90,16","2","22,72","7,82","0,26","0,12","0,62","Vanuatu ","Vanuatu",1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","LATIN AMER. & CARIB    ",25730435,912050,"28,2","0,31","-0,04","22,2",4800,"93,4","140,1","2,95","0,92","96,13","2","18,71","4,92","0,04","0,419","0,541","Venezuela ","Venezuela",26.4,166,"VEN","Americas",17,1.41,15,20,NA,13,22,16,NA,21,NA,14,15,NA,19,NA,NA,7,"Venezuela","Latin America and Caribbean",44,6.084,5.973,6.195,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2.97468,"Venezuela"
"235","ASIA (EX. NEAR EAST)         ",84402966,329560,"256,1","1,05","-0,45","25,95",2500,"90,3","187,7","19,97","5,95","74,08","2","16,86","6,22","0,209","0,41","0,381","Vietnam ","Vietnam",2.3,113,"VNM","Asia Pacific",33,2.46,29,38,35,34,34,28,NA,NA,NA,40,41,NA,19,NA,35,8,"Vietnam","Southeastern Asia",96,5.061,4.991,5.131,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,1.9418,"Vietnam"
"236","LATIN AMER. & CARIB    ",108605,1910,"56,9","9,84","-8,94","8,03",17200,"","652,8","11,76","2,94","85,3","2","13,96","6,43","0,01","0,19","0,8","Virgin Islands ","Virgin Islands",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","OCEANIA                            ",16025,274,"58,5","47,08","","",3700,"50,0","118,6","5","25","70","2","","","","","","Wallis and Futuna ","Wallis and Futuna",12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","NEAR EAST                          ",2460492,5860,"419,9","0,00","2,98","19,62",800,"","145,2","16,9","18,97","64,13","3","31,67","3,92","0,09","0,28","0,63","West Bank ","West Bank",26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","NORTHERN AFRICA                    ",273008,266000,"1,0","0,42","","",NA,"","","0,02","0","99,98","1","","","","","0,4","Western Sahara ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","NEAR EAST                          ",21456188,527970,"40,6","0,36","0","61,5",800,"50,2","37,2","2,78","0,24","96,98","1","42,89","8,3","0,135","0,472","0,393","Yemen ","Yemen",27,170,"YEM","Middle East and North Africa",14,3.05,9,19,2,12,10,28,NA,NA,NA,NA,15,14,19,NA,NA,7,"Yemen","Middle East and Northern Africa",147,3.724,3.621,3.827,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821,1.97295,"Yemen"
"241","SUB-SAHARAN AFRICA                 ",11502010,752614,"15,3","0,00","0","88,29",800,"80,6","8,2","7,08","0,03","92,9","2","41","19,93","0,22","0,29","0,489","Zambia ","Zambia",15,87,"ZMB","Sub-Saharan Africa",38,2.91,34,43,35,31,34,28,41,NA,NA,39,41,59,37,NA,NA,9,"Zambia","Sub-Saharan Africa",106,4.795,4.645,4.945,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,2.58991,"Zambia"
"242","SUB-SAHARAN AFRICA                 ",12236805,390580,"31,3","0,00","0","67,69",1900,"90,7","26,8","8,32","0,34","91,34","2","28,01","21,84","0,179","0,243","0,579","Zimbabwe ","Zimbabwe",95,154,"ZWE","Sub-Saharan Africa",22,2.59,18,26,13,30,22,16,17,NA,NA,24,15,24,37,NA,NA,9,"Zimbabwe","Sub-Saharan Africa",131,4.193,4.101,4.285,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,2.4427,"Zimbabwe"
